Date,Away_Team,Home_Team,Strike,Result,Is_Home_Arena,Last_Price,Volume
"Jan 25, 2026",,,Injury / Injured,yes,no,99,5820
"Jan 25, 2026",,,Jordan,no,no,1,3463
"Jan 25, 2026",,,MVP,yes,no,99,3132
"Jan 25, 2026",,,Paycom,yes,yes,99,8810
"Jan 25, 2026",,,Playoff,no,no,2,10910
"Jan 25, 2026",,,Retire / Retired / Retirement,no,no,2,7877
"Jan 25, 2026",,,Tech / Technical,yes,no,99,13075
"Jan 25, 2026",,,Trade / Trades / Traded,yes,no,99,2964
"Jan 25, 2026",,,Triple Double,no,no,1,3885
"Jan 25, 2026",,,Airball / Air Ball,no,no,2,36483
"Jan 25, 2026",,,All-Star,no,no,1,49971
"Jan 25, 2026",,,Alley-oop,no,no,2,42557
"Jan 25, 2026",,,Ankle,no,no,2,37682
"Jan 25, 2026",,,Buzzer,no,no,2,151002
"Jan 25, 2026",,,Elbow,no,no,2,47603
"Jan 25, 2026",,,FedExForum / FedEx,no,yes,2,90971
"Jan 25, 2026",,,Injury / Injured,no,no,2,230918
"Jan 25, 2026",,,Jordan,no,no,2,48472
"Jan 25, 2026",,,MVP,no,no,2,44199
"Jan 25, 2026",,,Playoff,no,no,2,91739
"Jan 25, 2026",,,Retire / Retired / Retirement,no,no,2,26504
"Jan 25, 2026",,,Tech / Technical,no,no,2,103835
"Jan 25, 2026",,,Trade / Trades / Traded,no,no,1,58919
"Jan 25, 2026",,,Triple Double,no,no,2,28511
"Jan 24, 2026",,,Airball / Air Ball,no,no,1,12002
"Jan 24, 2026",,,All-Star,yes,no,99,8303
"Jan 24, 2026",,,Alley-oop,no,no,1,19107
"Jan 24, 2026",,,Ankle,no,no,1,8156
"Jan 24, 2026",,,Buzzer,no,no,1,34091
"Jan 24, 2026",,,Elbow,yes,no,99,10196
"Jan 24, 2026",,,Injury / Injured,yes,no,99,13160
"Jan 24, 2026",,,Jordan,no,no,1,17075
"Jan 24, 2026",,,MVP,no,no,1,11256
"Jan 24, 2026",,,Playoff,no,no,1,14243
"Jan 24, 2026",,,Retire / Retired / Retirement,no,no,1,7496
"Jan 24, 2026",,,Tech / Technical,no,no,1,12562
"Jan 24, 2026",,,Trade / Trades / Traded,no,no,1,11438
"Jan 24, 2026",,,Triple Double,yes,no,99,18438
"Jan 24, 2026",,,Xfinity,no,yes,1,12225
"Jan 24, 2026",,,Airball / Air Ball,no,no,1,16223
"Jan 24, 2026",,,All-Star,yes,no,99,4397
"Jan 24, 2026",,,Alley-oop,yes,no,99,28682
"Jan 24, 2026",,,American Airlines,yes,yes,99,17044
"Jan 24, 2026",,,Ankle,yes,no,99,6848
"Jan 24, 2026",,,Buzzer,yes,no,99,16592
"Jan 24, 2026",,,Elbow,yes,no,99,31478
"Jan 24, 2026",,,Injury / Injured,yes,no,99,19331
"Jan 24, 2026",,,Jordan,no,no,1,10697
"Jan 24, 2026",,,MVP,yes,no,99,9828
"Jan 24, 2026",,,Playoff,yes,no,99,3530
"Jan 24, 2026",,,Retire / Retired / Retirement,no,no,1,26350
"Jan 24, 2026",,,Tech / Technical,no,no,7,44814
"Jan 24, 2026",,,Trade / Trades / Traded,yes,no,99,14304
"Jan 24, 2026",,,Triple Double,yes,no,99,16915
"Jan 24, 2026",,,Airball / Air Ball,yes,no,29,6511
"Jan 24, 2026",,,All-Star,no,no,72,19522
"Jan 24, 2026",,,Alley-oop,no,no,69,15689
"Jan 24, 2026",,,Ankle,yes,no,54,4318
"Jan 24, 2026",,,Buzzer,yes,no,20,4756
"Jan 24, 2026",,,Elbow,yes,no,99,23570
"Jan 24, 2026",,,Injury / Injured,yes,no,89,37662
"Jan 24, 2026",,,Jordan,yes,no,36,2079
"Jan 24, 2026",,,MVP,yes,no,37,2922
"Jan 24, 2026",,,Playoff,yes,no,62,5296
"Jan 24, 2026",,,Retire / Retired / Retirement,yes,no,15,4205
"Jan 24, 2026",,,Target,yes,yes,79,11185
"Jan 24, 2026",,,Tech / Technical,yes,no,63,9419
"Jan 24, 2026",,,Trade / Trades / Traded,no,no,68,4814
"Jan 24, 2026",,,Triple Double,no,no,26,2500
"Jan 23, 2026",,,Airball / Air Ball,no,no,1,11045
"Jan 23, 2026",,,All-Star,yes,no,99,7397
"Jan 23, 2026",,,Alley-oop,no,no,1,27089
"Jan 23, 2026",,,Ankle,yes,no,99,4952
"Jan 23, 2026",,,Buzzer,no,no,1,49657
"Jan 23, 2026",,,Elbow,yes,no,99,15437
"Jan 23, 2026",,,Injury / Injured,yes,no,99,7608
"Jan 23, 2026",,,Jordan,yes,no,99,17806
"Jan 23, 2026",,,Little Caesars,yes,yes,99,23323
"Jan 23, 2026",,,MVP,yes,no,99,6545
"Jan 23, 2026",,,Playoff,yes,no,99,7604
"Jan 23, 2026",,,Retire / Retired / Retirement,no,no,1,10469
"Jan 23, 2026",,,Tech / Technical,yes,no,99,10611
"Jan 23, 2026",,,Trade / Trades / Traded,yes,no,99,21041
"Jan 23, 2026",,,Triple Double,no,no,1,9060
"Jan 23, 2026",,,Airball / Air Ball,yes,no,99,8279
"Jan 23, 2026",,,All-Star,yes,no,99,6736
"Jan 23, 2026",,,Alley-oop,no,no,1,52536
"Jan 23, 2026",,,Ankle,yes,no,99,8805
"Jan 23, 2026",,,Buzzer,yes,no,99,21411
"Jan 23, 2026",,,Elbow,yes,no,99,22447
"Jan 23, 2026",,,Fiserv,yes,yes,99,14321
"Jan 23, 2026",,,Injury / Injured,yes,no,99,5576
"Jan 23, 2026",,,Jordan,no,no,1,21759
"Jan 23, 2026",,,MVP,yes,no,99,5889
"Jan 23, 2026",,,Playoff,yes,no,99,4345
"Jan 23, 2026",,,Retire / Retired / Retirement,no,no,1,42407
"Jan 23, 2026",,,Tech / Technical,yes,no,99,9671
"Jan 23, 2026",,,Trade / Trades / Traded,yes,no,99,18162
"Jan 23, 2026",,,Triple Double,no,no,1,33561
"Jan 22, 2026",,,Airball / Air Ball,no,no,1,21107
"Jan 22, 2026",,,All-Star,yes,no,99,10379
"Jan 22, 2026",,,Alley-oop,yes,no,99,19211
"Jan 22, 2026",,,Ankle,yes,no,99,8970
"Jan 22, 2026",,,Buzzer,no,no,1,70652
"Jan 22, 2026",,,Elbow,yes,no,99,27480
"Jan 22, 2026",,,Injury / Injured,yes,no,99,15128
"Jan 22, 2026",,,Intuit,no,yes,2,40821
"Jan 22, 2026",,,Jordan,yes,no,99,28977
"Jan 22, 2026",,,MVP,no,no,1,18487
"Jan 22, 2026",,,Playoff,yes,no,99,7195
"Jan 22, 2026",,,Retire / Retired / Retirement,no,no,1,16713
"Jan 22, 2026",,,Tech / Technical,no,no,1,17244
"Jan 22, 2026",,,Trade / Trades / Traded,yes,no,99,7091
"Jan 22, 2026",,,Triple Double,yes,no,99,13941
"Jan 22, 2026",,,Airball / Air Ball,yes,no,99,16680
"Jan 22, 2026",,,All-Star,yes,no,99,5059
"Jan 22, 2026",,,Alley-oop,no,no,1,11240
"Jan 22, 2026",,,American Airlines,yes,yes,99,18946
"Jan 22, 2026",,,Ankle,yes,no,99,5694
"Jan 22, 2026",,,Buzzer,no,no,1,98223
"Jan 22, 2026",,,Elbow,no,no,1,19464
"Jan 22, 2026",,,Injury / Injured,yes,no,99,18315
"Jan 22, 2026",,,Jordan,no,no,1,3601
"Jan 22, 2026",,,MVP,no,no,1,10403
"Jan 22, 2026",,,Playoff,yes,no,99,4418
"Jan 22, 2026",,,Retire / Retired / Retirement,no,no,1,10448
"Jan 22, 2026",,,Tech / Technical,yes,no,99,5511
"Jan 22, 2026",,,Trade / Trades / Traded,yes,no,99,8271
