Game,Strike,Result,Last Price,Volume
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Tech / Technical,yes,99,9512
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Trade / Trades / Traded,yes,99,10541
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Triple Double,no,1,3962
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Airball / Air Ball,no,1,21479
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",All-Star,yes,99,9059
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Alley-oop,yes,99,24493
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Ankle,yes,99,5297
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Buzzer,no,1,60446
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Elbow,yes,99,13050
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Injury / Injured,yes,99,9433
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Jordan,yes,99,28242
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",MVP,no,1,37432
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Playoff,yes,99,4764
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Retire / Retired / Retirement,no,1,19098
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Tech / Technical,yes,99,5809
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Toyota,no,1,52418
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Trade / Trades / Traded,yes,99,6623
"San Antonio at Houston professional basketball game originally scheduled for Jan 28, 2026",Triple Double,no,1,12693
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Airball / Air Ball,no,1,6756
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",All-Star,yes,99,12439
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Alley-oop,no,1,22042
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Ankle,yes,99,13669
